final_eval_ar_accuracy,final_eval_bg_accuracy,final_eval_de_accuracy,final_eval_el_accuracy,final_eval_es_accuracy,final_eval_hi_accuracy,final_eval_ru_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_ur_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_amh_accuracy,final_eval_ewe_accuracy,final_eval_fra_accuracy,final_eval_hau_accuracy,final_eval_ibo_accuracy,final_eval_kin_accuracy,final_eval_lin_accuracy,final_eval_lug_accuracy,final_eval_orm_accuracy,final_eval_sna_accuracy,final_eval_sot_accuracy,final_eval_swa_accuracy,final_eval_twi_accuracy,final_eval_wol_accuracy,final_eval_xho_accuracy,final_eval_yor_accuracy,final_eval_zul_accuracy,final_eval_mya_accuracy,final_eval_ind_accuracy,final_eval_same_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
64.61 \scriptsize $\pm$ 0.79,66.84 \scriptsize $\pm$ 0.84,69.33 \scriptsize $\pm$ 0.72,66.52 \scriptsize $\pm$ 0.59,73.16 \scriptsize $\pm$ 0.36,59.89 \scriptsize $\pm$ 0.77,67.85 \scriptsize $\pm$ 0.40,52.93 \scriptsize $\pm$ 1.77,59.62 \scriptsize $\pm$ 0.46,57.77 \scriptsize $\pm$ 0.36,69.02 \scriptsize $\pm$ 0.30,68.64 \scriptsize $\pm$ 0.78,35.75 \scriptsize $\pm$ 0.73,48.88 \scriptsize $\pm$ 6.15,73.50 \scriptsize $\pm$ 1.33,50.29 \scriptsize $\pm$ 2.43,40.75 \scriptsize $\pm$ 1.32,44.29 \scriptsize $\pm$ 3.96,34.12 \scriptsize $\pm$ 1.91,46.29 \scriptsize $\pm$ 4.61,47.25 \scriptsize $\pm$ 8.32,45.46 \scriptsize $\pm$ 4.55,43.29 \scriptsize $\pm$ 2.66,46.88 \scriptsize $\pm$ 1.46,41.25 \scriptsize $\pm$ 2.91,43.25 \scriptsize $\pm$ 2.83,42.21 \scriptsize $\pm$ 3.90,43.21 \scriptsize $\pm$ 1.63,41.75 \scriptsize $\pm$ 3.05,52.75 \scriptsize $\pm$ 1.69,63.97 \scriptsize $\pm$ 0.42,80.96 \scriptsize $\pm$ 0.23,54.45 \scriptsize $\pm$ 0.87,abla_random_unseen_mbert,xnli,"[42, 66, 17, 23]","[53.25095552862104, 55.34109436957184, 54.66345609718901, 54.52967113694863]",0.128244340516476,0.10273338230853854,0.45466039036267186
64.55 \scriptsize $\pm$ 0.47,67.37 \scriptsize $\pm$ 0.71,68.46 \scriptsize $\pm$ 0.65,66.49 \scriptsize $\pm$ 0.30,73.03 \scriptsize $\pm$ 0.45,60.00 \scriptsize $\pm$ 0.54,67.31 \scriptsize $\pm$ 0.45,53.51 \scriptsize $\pm$ 2.34,59.85 \scriptsize $\pm$ 0.66,57.59 \scriptsize $\pm$ 0.82,69.28 \scriptsize $\pm$ 0.35,68.50 \scriptsize $\pm$ 0.33,35.17 \scriptsize $\pm$ 0.24,49.46 \scriptsize $\pm$ 4.37,72.46 \scriptsize $\pm$ 0.77,43.21 \scriptsize $\pm$ 1.20,44.75 \scriptsize $\pm$ 6.30,45.88 \scriptsize $\pm$ 4.19,34.83 \scriptsize $\pm$ 1.19,46.79 \scriptsize $\pm$ 3.83,43.25 \scriptsize $\pm$ 2.09,46.75 \scriptsize $\pm$ 4.36,45.75 \scriptsize $\pm$ 2.13,48.46 \scriptsize $\pm$ 0.98,41.92 \scriptsize $\pm$ 4.20,42.79 \scriptsize $\pm$ 4.41,46.17 \scriptsize $\pm$ 1.91,48.96 \scriptsize $\pm$ 5.06,46.00 \scriptsize $\pm$ 4.05,52.45 \scriptsize $\pm$ 0.96,63.80 \scriptsize $\pm$ 0.86,81.05 \scriptsize $\pm$ 0.47,54.87 \scriptsize $\pm$ 0.20,abla_random_unseen_xlmr,xnli,"[42, 66, 17, 23]","[54.94077169053314, 54.71663091377566, 55.12259880373303, 54.69787904084592]",0.10073759239294619,0.010417829473104514,0.7781331825864363
64.83 \scriptsize $\pm$ 0.43,67.28 \scriptsize $\pm$ 0.25,69.28 \scriptsize $\pm$ 0.53,66.16 \scriptsize $\pm$ 0.44,73.10 \scriptsize $\pm$ 0.48,59.89 \scriptsize $\pm$ 0.78,67.52 \scriptsize $\pm$ 0.26,53.04 \scriptsize $\pm$ 0.44,60.04 \scriptsize $\pm$ 0.33,57.29 \scriptsize $\pm$ 0.31,69.62 \scriptsize $\pm$ 0.30,68.58 \scriptsize $\pm$ 0.27,36.08 \scriptsize $\pm$ 0.83,45.88 \scriptsize $\pm$ 2.28,74.29 \scriptsize $\pm$ 0.85,44.71 \scriptsize $\pm$ 1.05,46.42 \scriptsize $\pm$ 1.32,45.67 \scriptsize $\pm$ 2.09,35.17 \scriptsize $\pm$ 1.03,48.58 \scriptsize $\pm$ 1.22,47.33 \scriptsize $\pm$ 2.91,46.17 \scriptsize $\pm$ 1.13,44.08 \scriptsize $\pm$ 0.75,47.29 \scriptsize $\pm$ 1.62,40.12 \scriptsize $\pm$ 0.85,42.29 \scriptsize $\pm$ 1.58,44.38 \scriptsize $\pm$ 0.90,48.67 \scriptsize $\pm$ 1.13,45.50 \scriptsize $\pm$ 0.72,52.91 \scriptsize $\pm$ 0.50,64.74 \scriptsize $\pm$ 0.61,81.13 \scriptsize $\pm$ 0.36,54.94 \scriptsize $\pm$ 0.38,afri_only,xnli,"[42, 66, 17, 23]","[55.13532184959839, 54.50015944986703, 54.77482568375315, 55.34414089047107]",0.04968406976609542,0.00597500952094279,-1.0
66.37 \scriptsize $\pm$ 0.36,69.23 \scriptsize $\pm$ 0.35,71.15 \scriptsize $\pm$ 0.42,67.88 \scriptsize $\pm$ 0.21,75.13 \scriptsize $\pm$ 0.17,60.80 \scriptsize $\pm$ 0.40,69.51 \scriptsize $\pm$ 0.47,55.29 \scriptsize $\pm$ 0.40,62.70 \scriptsize $\pm$ 0.40,58.96 \scriptsize $\pm$ 0.37,70.48 \scriptsize $\pm$ 0.73,69.60 \scriptsize $\pm$ 0.30,35.54 \scriptsize $\pm$ 0.21,36.79 \scriptsize $\pm$ 0.37,75.54 \scriptsize $\pm$ 0.85,40.46 \scriptsize $\pm$ 0.98,38.62 \scriptsize $\pm$ 0.34,37.54 \scriptsize $\pm$ 1.20,35.29 \scriptsize $\pm$ 1.40,41.25 \scriptsize $\pm$ 0.70,38.50 \scriptsize $\pm$ 1.05,38.46 \scriptsize $\pm$ 1.01,38.83 \scriptsize $\pm$ 0.30,49.42 \scriptsize $\pm$ 1.17,36.67 \scriptsize $\pm$ 0.98,36.79 \scriptsize $\pm$ 1.17,36.38 \scriptsize $\pm$ 1.41,45.50 \scriptsize $\pm$ 0.30,37.58 \scriptsize $\pm$ 0.22,54.78 \scriptsize $\pm$ 0.47,66.79 \scriptsize $\pm$ 0.32,82.14 \scriptsize $\pm$ 0.24,53.12 \scriptsize $\pm$ 0.25,baseline,xnli,"[42, 66, 17, 23]","[53.221078202174745, 53.387079978782374, 52.805736131624144, 53.081505303735696]",0.00043968014155886697,0.05630064014366155,0.00515482081120306
65.03 \scriptsize $\pm$ 0.65,69.38 \scriptsize $\pm$ 0.51,70.82 \scriptsize $\pm$ 0.44,66.69 \scriptsize $\pm$ 0.50,73.77 \scriptsize $\pm$ 0.35,59.67 \scriptsize $\pm$ 0.48,68.31 \scriptsize $\pm$ 0.62,53.33 \scriptsize $\pm$ 1.18,61.53 \scriptsize $\pm$ 0.56,57.89 \scriptsize $\pm$ 0.24,69.86 \scriptsize $\pm$ 0.29,68.44 \scriptsize $\pm$ 0.27,35.54 \scriptsize $\pm$ 0.08,37.58 \scriptsize $\pm$ 0.89,73.88 \scriptsize $\pm$ 0.48,42.79 \scriptsize $\pm$ 1.23,39.92 \scriptsize $\pm$ 1.40,39.50 \scriptsize $\pm$ 1.73,33.88 \scriptsize $\pm$ 1.34,42.54 \scriptsize $\pm$ 1.64,40.29 \scriptsize $\pm$ 2.32,39.08 \scriptsize $\pm$ 0.78,41.29 \scriptsize $\pm$ 1.52,46.88 \scriptsize $\pm$ 0.98,39.83 \scriptsize $\pm$ 1.01,39.96 \scriptsize $\pm$ 1.32,38.12 \scriptsize $\pm$ 1.11,44.46 \scriptsize $\pm$ 1.44,40.21 \scriptsize $\pm$ 0.71,55.04 \scriptsize $\pm$ 0.64,64.90 \scriptsize $\pm$ 0.61,81.43 \scriptsize $\pm$ 0.51,53.18 \scriptsize $\pm$ 0.45,least_family_en_10,xnli,"[42, 66, 17, 23]","[53.25373298309546, 52.901685319040205, 52.7928324818192, 53.78283764240957]",0.0002878848674826414,0.1450719532170897,0.0004513726037951771
64.46 \scriptsize $\pm$ 0.79,68.16 \scriptsize $\pm$ 0.62,70.33 \scriptsize $\pm$ 0.79,66.49 \scriptsize $\pm$ 0.52,73.01 \scriptsize $\pm$ 0.32,60.01 \scriptsize $\pm$ 0.72,67.79 \scriptsize $\pm$ 0.26,54.49 \scriptsize $\pm$ 1.40,61.59 \scriptsize $\pm$ 0.20,58.13 \scriptsize $\pm$ 0.84,69.10 \scriptsize $\pm$ 0.27,68.54 \scriptsize $\pm$ 0.62,35.33 \scriptsize $\pm$ 0.14,37.92 \scriptsize $\pm$ 1.58,72.88 \scriptsize $\pm$ 0.69,42.33 \scriptsize $\pm$ 1.13,39.25 \scriptsize $\pm$ 0.55,40.21 \scriptsize $\pm$ 0.83,35.21 \scriptsize $\pm$ 0.28,42.62 \scriptsize $\pm$ 1.64,39.83 \scriptsize $\pm$ 1.11,38.33 \scriptsize $\pm$ 1.42,41.17 \scriptsize $\pm$ 1.16,47.71 \scriptsize $\pm$ 1.11,38.00 \scriptsize $\pm$ 1.63,38.00 \scriptsize $\pm$ 1.05,39.33 \scriptsize $\pm$ 1.11,44.54 \scriptsize $\pm$ 1.12,41.17 \scriptsize $\pm$ 0.36,55.97 \scriptsize $\pm$ 0.67,65.08 \scriptsize $\pm$ 0.58,80.92 \scriptsize $\pm$ 0.41,53.06 \scriptsize $\pm$ 0.29,least_family_en_20,xnli,"[42, 66, 17, 23]","[53.349124555848086, 52.67786661930829, 53.002388570713805, 53.21009004109743]",0.0008589547607830024,0.1287147742271459,0.0002081157755583324
64.97 \scriptsize $\pm$ 0.45,68.00 \scriptsize $\pm$ 0.29,70.85 \scriptsize $\pm$ 0.60,66.38 \scriptsize $\pm$ 0.26,73.25 \scriptsize $\pm$ 0.49,59.69 \scriptsize $\pm$ 0.52,67.85 \scriptsize $\pm$ 0.30,54.81 \scriptsize $\pm$ 0.82,61.59 \scriptsize $\pm$ 0.56,57.84 \scriptsize $\pm$ 0.43,69.43 \scriptsize $\pm$ 0.56,68.98 \scriptsize $\pm$ 0.26,35.58 \scriptsize $\pm$ 0.10,37.92 \scriptsize $\pm$ 1.66,73.04 \scriptsize $\pm$ 0.69,42.08 \scriptsize $\pm$ 1.72,39.54 \scriptsize $\pm$ 1.44,39.38 \scriptsize $\pm$ 0.48,34.54 \scriptsize $\pm$ 1.18,41.50 \scriptsize $\pm$ 1.47,39.37 \scriptsize $\pm$ 1.13,37.96 \scriptsize $\pm$ 2.05,40.21 \scriptsize $\pm$ 0.64,45.88 \scriptsize $\pm$ 0.42,38.12 \scriptsize $\pm$ 0.90,39.04 \scriptsize $\pm$ 1.48,38.54 \scriptsize $\pm$ 0.74,44.08 \scriptsize $\pm$ 1.50,40.58 \scriptsize $\pm$ 1.77,54.34 \scriptsize $\pm$ 0.40,64.85 \scriptsize $\pm$ 0.23,81.39 \scriptsize $\pm$ 0.31,52.86 \scriptsize $\pm$ 0.35,least_family_en_5,xnli,"[42, 66, 17, 23]","[52.717089196272326, 52.86101180681532, 52.52726157938813, 53.3430264136606]",3.1739206263750724e-05,0.002533363298540756,0.0011624512118033699
65.28 \scriptsize $\pm$ 0.50,68.20 \scriptsize $\pm$ 0.44,70.73 \scriptsize $\pm$ 0.60,66.83 \scriptsize $\pm$ 0.22,73.47 \scriptsize $\pm$ 0.05,60.10 \scriptsize $\pm$ 0.45,67.87 \scriptsize $\pm$ 0.31,54.61 \scriptsize $\pm$ 0.55,61.07 \scriptsize $\pm$ 0.70,58.04 \scriptsize $\pm$ 0.39,69.58 \scriptsize $\pm$ 0.21,68.97 \scriptsize $\pm$ 0.48,35.33 \scriptsize $\pm$ 0.00,36.88 \scriptsize $\pm$ 0.86,73.75 \scriptsize $\pm$ 0.83,42.04 \scriptsize $\pm$ 0.97,39.29 \scriptsize $\pm$ 0.60,39.21 \scriptsize $\pm$ 1.54,34.75 \scriptsize $\pm$ 1.27,44.71 \scriptsize $\pm$ 1.58,40.46 \scriptsize $\pm$ 1.29,38.67 \scriptsize $\pm$ 1.38,41.75 \scriptsize $\pm$ 0.96,46.67 \scriptsize $\pm$ 1.41,38.33 \scriptsize $\pm$ 2.07,38.08 \scriptsize $\pm$ 2.20,38.92 \scriptsize $\pm$ 1.49,44.00 \scriptsize $\pm$ 1.08,41.00 \scriptsize $\pm$ 1.28,55.88 \scriptsize $\pm$ 0.31,64.92 \scriptsize $\pm$ 0.26,81.25 \scriptsize $\pm$ 0.14,53.14 \scriptsize $\pm$ 0.31,least_same_script_10,xnli,"[42, 66, 17, 23]","[53.13531189965912, 53.568224057916325, 53.0286946214809, 52.84537535184324]",0.002219525588372734,0.16779954022530014,0.011926934032369087
64.93 \scriptsize $\pm$ 0.60,68.33 \scriptsize $\pm$ 0.41,69.43 \scriptsize $\pm$ 1.20,66.51 \scriptsize $\pm$ 0.50,73.32 \scriptsize $\pm$ 0.36,59.43 \scriptsize $\pm$ 0.49,67.27 \scriptsize $\pm$ 0.94,55.22 \scriptsize $\pm$ 0.52,63.64 \scriptsize $\pm$ 0.43,57.38 \scriptsize $\pm$ 0.86,70.02 \scriptsize $\pm$ 0.43,69.12 \scriptsize $\pm$ 0.60,35.46 \scriptsize $\pm$ 0.16,51.54 \scriptsize $\pm$ 1.03,73.67 \scriptsize $\pm$ 0.68,42.29 \scriptsize $\pm$ 0.89,41.25 \scriptsize $\pm$ 0.78,42.75 \scriptsize $\pm$ 0.59,33.21 \scriptsize $\pm$ 1.72,52.00 \scriptsize $\pm$ 0.49,54.00 \scriptsize $\pm$ 0.64,51.33 \scriptsize $\pm$ 1.30,42.17 \scriptsize $\pm$ 0.36,50.12 \scriptsize $\pm$ 1.59,44.00 \scriptsize $\pm$ 1.56,41.62 \scriptsize $\pm$ 0.86,45.21 \scriptsize $\pm$ 0.74,51.67 \scriptsize $\pm$ 1.87,46.58 \scriptsize $\pm$ 1.36,54.32 \scriptsize $\pm$ 0.83,64.05 \scriptsize $\pm$ 0.80,81.39 \scriptsize $\pm$ 0.39,55.73 \scriptsize $\pm$ 0.19,least_same_script_20,xnli,"[42, 66, 17, 23]","[55.90964150786898, 55.61907936807349, 55.86453751344496, 55.5110308872871]",0.27722988474399346,0.0023855092101599134,0.03776837520540883
65.95 \scriptsize $\pm$ 0.16,68.63 \scriptsize $\pm$ 0.13,70.91 \scriptsize $\pm$ 0.27,67.29 \scriptsize $\pm$ 0.36,73.44 \scriptsize $\pm$ 0.18,59.89 \scriptsize $\pm$ 0.36,68.04 \scriptsize $\pm$ 0.88,55.63 \scriptsize $\pm$ 0.39,61.57 \scriptsize $\pm$ 0.37,58.37 \scriptsize $\pm$ 0.28,69.69 \scriptsize $\pm$ 0.26,68.73 \scriptsize $\pm$ 0.38,35.50 \scriptsize $\pm$ 0.19,38.96 \scriptsize $\pm$ 1.31,73.33 \scriptsize $\pm$ 0.61,42.08 \scriptsize $\pm$ 0.87,39.75 \scriptsize $\pm$ 1.66,38.38 \scriptsize $\pm$ 1.48,34.46 \scriptsize $\pm$ 0.42,44.21 \scriptsize $\pm$ 2.65,39.08 \scriptsize $\pm$ 1.42,39.00 \scriptsize $\pm$ 1.91,41.38 \scriptsize $\pm$ 1.30,46.29 \scriptsize $\pm$ 0.93,38.37 \scriptsize $\pm$ 1.97,37.96 \scriptsize $\pm$ 1.82,38.75 \scriptsize $\pm$ 1.54,44.37 \scriptsize $\pm$ 0.69,40.38 \scriptsize $\pm$ 2.41,55.46 \scriptsize $\pm$ 0.46,65.12 \scriptsize $\pm$ 0.19,81.30 \scriptsize $\pm$ 0.42,53.20 \scriptsize $\pm$ 0.56,least_same_script_5,xnli,"[42, 66, 17, 23]","[53.04454612892179, 52.46683308985246, 53.65373893633645, 53.61832292185068]",0.006323042050845651,0.41906351760549787,0.004314909436445663
65.17 \scriptsize $\pm$ 0.43,69.41 \scriptsize $\pm$ 1.06,71.26 \scriptsize $\pm$ 0.45,67.33 \scriptsize $\pm$ 0.55,74.01 \scriptsize $\pm$ 0.13,59.97 \scriptsize $\pm$ 0.66,68.08 \scriptsize $\pm$ 0.47,54.91 \scriptsize $\pm$ 1.17,61.51 \scriptsize $\pm$ 0.24,58.03 \scriptsize $\pm$ 0.48,69.92 \scriptsize $\pm$ 0.49,68.90 \scriptsize $\pm$ 0.76,35.25 \scriptsize $\pm$ 0.10,38.62 \scriptsize $\pm$ 1.50,74.88 \scriptsize $\pm$ 0.63,43.29 \scriptsize $\pm$ 1.34,39.17 \scriptsize $\pm$ 1.57,39.04 \scriptsize $\pm$ 1.64,34.71 \scriptsize $\pm$ 1.51,42.21 \scriptsize $\pm$ 1.08,39.21 \scriptsize $\pm$ 0.64,39.46 \scriptsize $\pm$ 0.25,42.00 \scriptsize $\pm$ 1.34,46.92 \scriptsize $\pm$ 0.57,38.08 \scriptsize $\pm$ 1.09,39.62 \scriptsize $\pm$ 1.38,37.62 \scriptsize $\pm$ 2.19,44.79 \scriptsize $\pm$ 0.95,39.92 \scriptsize $\pm$ 1.25,54.53 \scriptsize $\pm$ 1.23,65.08 \scriptsize $\pm$ 0.47,81.37 \scriptsize $\pm$ 0.23,53.26 \scriptsize $\pm$ 0.52,least_uriel_en_10,xnli,"[42, 66, 17, 23]","[53.072527950131914, 53.063852857288104, 52.87168633577348, 54.02484700505156]",0.000696031765687785,0.23375676769767056,0.0025735012691579834
63.24 \scriptsize $\pm$ 0.31,68.81 \scriptsize $\pm$ 0.37,70.93 \scriptsize $\pm$ 0.14,65.98 \scriptsize $\pm$ 0.21,73.55 \scriptsize $\pm$ 0.35,60.24 \scriptsize $\pm$ 0.66,67.63 \scriptsize $\pm$ 0.70,54.71 \scriptsize $\pm$ 0.75,61.39 \scriptsize $\pm$ 0.93,58.25 \scriptsize $\pm$ 0.34,69.23 \scriptsize $\pm$ 0.53,68.94 \scriptsize $\pm$ 0.41,35.04 \scriptsize $\pm$ 0.93,38.17 \scriptsize $\pm$ 0.68,74.25 \scriptsize $\pm$ 1.20,42.46 \scriptsize $\pm$ 0.66,39.12 \scriptsize $\pm$ 0.21,40.29 \scriptsize $\pm$ 0.75,34.29 \scriptsize $\pm$ 1.86,43.50 \scriptsize $\pm$ 2.06,40.25 \scriptsize $\pm$ 1.54,39.29 \scriptsize $\pm$ 0.42,41.29 \scriptsize $\pm$ 1.60,46.79 \scriptsize $\pm$ 1.54,38.58 \scriptsize $\pm$ 1.55,41.46 \scriptsize $\pm$ 1.01,38.29 \scriptsize $\pm$ 1.26,44.25 \scriptsize $\pm$ 0.48,40.88 \scriptsize $\pm$ 1.12,56.37 \scriptsize $\pm$ 0.47,65.38 \scriptsize $\pm$ 0.49,81.39 \scriptsize $\pm$ 0.13,53.26 \scriptsize $\pm$ 0.12,least_uriel_en_20,xnli,"[42, 66, 17, 23]","[53.20909212071835, 53.389423816575956, 53.31143334978835, 53.12242990560434]",0.0013957399608149523,0.22326271125415595,0.006404020765855589
64.71 \scriptsize $\pm$ 0.59,68.57 \scriptsize $\pm$ 0.71,70.12 \scriptsize $\pm$ 0.28,66.12 \scriptsize $\pm$ 0.38,73.15 \scriptsize $\pm$ 0.27,59.53 \scriptsize $\pm$ 0.32,67.39 \scriptsize $\pm$ 1.22,54.23 \scriptsize $\pm$ 0.43,63.60 \scriptsize $\pm$ 0.54,58.25 \scriptsize $\pm$ 0.36,69.20 \scriptsize $\pm$ 0.51,68.78 \scriptsize $\pm$ 0.57,35.42 \scriptsize $\pm$ 0.17,38.33 \scriptsize $\pm$ 1.08,73.79 \scriptsize $\pm$ 0.91,50.67 \scriptsize $\pm$ 1.60,40.21 \scriptsize $\pm$ 0.57,41.33 \scriptsize $\pm$ 2.44,34.67 \scriptsize $\pm$ 0.91,41.88 \scriptsize $\pm$ 0.91,42.92 \scriptsize $\pm$ 1.51,40.12 \scriptsize $\pm$ 1.07,40.17 \scriptsize $\pm$ 1.06,46.75 \scriptsize $\pm$ 1.26,38.62 \scriptsize $\pm$ 1.54,43.96 \scriptsize $\pm$ 1.48,38.25 \scriptsize $\pm$ 1.10,45.12 \scriptsize $\pm$ 1.19,41.33 \scriptsize $\pm$ 1.58,55.18 \scriptsize $\pm$ 1.50,64.58 \scriptsize $\pm$ 0.28,81.09 \scriptsize $\pm$ 0.53,53.69 \scriptsize $\pm$ 0.28,least_uriel_en_40,xnli,"[42, 66, 17, 23]","[54.02326956342007, 53.80160924799195, 53.398354848613764, 53.53171313204689]",0.0021539509841375796,0.42494157885954775,0.012787099894815374
65.42 \scriptsize $\pm$ 0.42,68.36 \scriptsize $\pm$ 0.52,70.27 \scriptsize $\pm$ 0.54,66.99 \scriptsize $\pm$ 0.68,73.77 \scriptsize $\pm$ 0.56,60.19 \scriptsize $\pm$ 0.73,68.43 \scriptsize $\pm$ 0.42,54.78 \scriptsize $\pm$ 0.57,61.17 \scriptsize $\pm$ 0.36,58.27 \scriptsize $\pm$ 0.89,69.76 \scriptsize $\pm$ 0.23,69.43 \scriptsize $\pm$ 0.92,35.38 \scriptsize $\pm$ 0.08,38.62 \scriptsize $\pm$ 0.70,73.71 \scriptsize $\pm$ 1.55,43.75 \scriptsize $\pm$ 1.35,39.75 \scriptsize $\pm$ 1.32,38.46 \scriptsize $\pm$ 0.88,33.25 \scriptsize $\pm$ 0.35,44.12 \scriptsize $\pm$ 1.66,40.08 \scriptsize $\pm$ 0.74,40.12 \scriptsize $\pm$ 0.81,42.12 \scriptsize $\pm$ 1.13,46.79 \scriptsize $\pm$ 1.26,38.54 \scriptsize $\pm$ 0.83,37.96 \scriptsize $\pm$ 1.01,38.08 \scriptsize $\pm$ 1.52,43.87 \scriptsize $\pm$ 0.69,40.62 \scriptsize $\pm$ 0.76,54.39 \scriptsize $\pm$ 1.10,65.18 \scriptsize $\pm$ 0.34,81.43 \scriptsize $\pm$ 0.06,53.22 \scriptsize $\pm$ 0.17,least_uriel_en_5,xnli,"[42, 66, 17, 23]","[52.98309338093251, 53.40176918281399, 53.24979029875905, 53.251054108271404]",0.000991322058518739,0.10397710142644913,0.0063238321847166
64.26 \scriptsize $\pm$ 0.42,68.12 \scriptsize $\pm$ 0.17,70.07 \scriptsize $\pm$ 0.17,65.51 \scriptsize $\pm$ 0.48,73.84 \scriptsize $\pm$ 0.31,59.24 \scriptsize $\pm$ 0.33,67.53 \scriptsize $\pm$ 0.44,56.21 \scriptsize $\pm$ 0.46,62.51 \scriptsize $\pm$ 0.57,56.88 \scriptsize $\pm$ 0.43,69.18 \scriptsize $\pm$ 0.28,68.95 \scriptsize $\pm$ 0.21,35.46 \scriptsize $\pm$ 0.16,37.75 \scriptsize $\pm$ 1.04,73.33 \scriptsize $\pm$ 0.43,40.42 \scriptsize $\pm$ 0.62,39.29 \scriptsize $\pm$ 0.64,37.00 \scriptsize $\pm$ 2.16,35.33 \scriptsize $\pm$ 1.34,40.71 \scriptsize $\pm$ 2.07,38.21 \scriptsize $\pm$ 1.38,37.79 \scriptsize $\pm$ 0.93,39.04 \scriptsize $\pm$ 0.76,47.71 \scriptsize $\pm$ 1.03,37.12 \scriptsize $\pm$ 0.75,37.96 \scriptsize $\pm$ 1.87,36.25 \scriptsize $\pm$ 1.57,44.33 \scriptsize $\pm$ 0.91,37.67 \scriptsize $\pm$ 1.23,57.28 \scriptsize $\pm$ 0.67,65.00 \scriptsize $\pm$ 0.60,81.21 \scriptsize $\pm$ 0.28,52.54 \scriptsize $\pm$ 0.34,most_distinct_script_10,xnli,"[42, 66, 17, 23]","[52.24671417888085, 52.54461661462597, 52.338271095209045, 53.014783352196424]",0.00011610338500916016,0.0012528139754397977,0.001101002679285966
64.15 \scriptsize $\pm$ 0.54,67.96 \scriptsize $\pm$ 0.72,69.80 \scriptsize $\pm$ 0.28,65.82 \scriptsize $\pm$ 0.86,73.55 \scriptsize $\pm$ 0.15,60.02 \scriptsize $\pm$ 0.28,67.28 \scriptsize $\pm$ 0.27,56.47 \scriptsize $\pm$ 1.08,62.13 \scriptsize $\pm$ 0.34,58.11 \scriptsize $\pm$ 0.36,68.85 \scriptsize $\pm$ 0.28,68.55 \scriptsize $\pm$ 0.22,35.29 \scriptsize $\pm$ 0.21,37.04 \scriptsize $\pm$ 0.55,74.33 \scriptsize $\pm$ 0.61,40.83 \scriptsize $\pm$ 1.34,38.75 \scriptsize $\pm$ 1.31,38.42 \scriptsize $\pm$ 0.35,34.96 \scriptsize $\pm$ 0.86,40.62 \scriptsize $\pm$ 0.89,38.46 \scriptsize $\pm$ 0.76,37.58 \scriptsize $\pm$ 2.29,40.04 \scriptsize $\pm$ 0.72,48.08 \scriptsize $\pm$ 0.87,38.17 \scriptsize $\pm$ 1.38,37.58 \scriptsize $\pm$ 1.42,38.21 \scriptsize $\pm$ 1.34,43.50 \scriptsize $\pm$ 1.65,39.17 \scriptsize $\pm$ 2.69,56.57 \scriptsize $\pm$ 0.08,64.90 \scriptsize $\pm$ 0.15,81.02 \scriptsize $\pm$ 0.27,52.69 \scriptsize $\pm$ 0.13,most_distinct_script_18,xnli,"[42, 66, 17, 23]","[52.50234433947119, 52.78161798052689, 52.72848413427837, 52.76700085084522]",0.0003875025360512281,0.006215849336201164,0.0019921103291475587
65.07 \scriptsize $\pm$ 0.47,68.25 \scriptsize $\pm$ 0.56,70.73 \scriptsize $\pm$ 0.18,66.64 \scriptsize $\pm$ 0.65,74.11 \scriptsize $\pm$ 0.50,59.80 \scriptsize $\pm$ 0.68,67.97 \scriptsize $\pm$ 0.46,56.06 \scriptsize $\pm$ 0.44,62.68 \scriptsize $\pm$ 0.65,57.19 \scriptsize $\pm$ 0.82,69.75 \scriptsize $\pm$ 0.54,69.09 \scriptsize $\pm$ 0.22,35.62 \scriptsize $\pm$ 0.34,37.37 \scriptsize $\pm$ 0.57,74.42 \scriptsize $\pm$ 1.16,41.62 \scriptsize $\pm$ 0.83,38.21 \scriptsize $\pm$ 0.21,37.08 \scriptsize $\pm$ 1.58,34.92 \scriptsize $\pm$ 1.66,40.08 \scriptsize $\pm$ 1.84,38.38 \scriptsize $\pm$ 1.71,38.38 \scriptsize $\pm$ 0.98,38.79 \scriptsize $\pm$ 1.44,49.04 \scriptsize $\pm$ 0.64,37.42 \scriptsize $\pm$ 1.91,38.21 \scriptsize $\pm$ 0.28,37.12 \scriptsize $\pm$ 1.46,44.33 \scriptsize $\pm$ 1.56,38.96 \scriptsize $\pm$ 0.89,55.48 \scriptsize $\pm$ 0.63,65.32 \scriptsize $\pm$ 0.58,81.65 \scriptsize $\pm$ 0.58,52.80 \scriptsize $\pm$ 0.25,most_distinct_script_5,xnli,"[42, 66, 17, 23]","[52.954318658259886, 52.538741886200775, 52.662084176151716, 53.06290585718644]",0.00017523185351937543,0.0201932460756483,6.848478271585463e-05
